id,user_id,query,results_count,clicked_product_id,search_type,created_at
8cdaad6d-9cf3-4e9d-a2da-c3cab5b03f28,,iPhone 15 latest model,3,2fb762e4-d05d-48be-ba01-598624056782,semantic,2025-09-22 23:45:36.908743
28a4f93a-c3b9-4828-aa1e-73cf3fa7e6b3,9bd3bdff-af6f-401f-8c92-2f72679cc7bc,smartwatch with health tracking,51,,keyword,2025-12-26 15:00:36.908786
ac93823f-2883-4adb-bf5f-dc9b74d73fd6,120b9bb4-a1b6-42c0-98df-717bcdb93ad4,budget smartphone 5G under 20000,12,,semantic,2026-01-13 00:38:36.908805
2283cfad-5423-4b1e-b214-10b58b2e390e,ee506ef2-3e87-4e10-8e57-33ffe703ea54,air fryer low oil cooking,4,,semantic,2025-12-16 00:59:36.908821
44dc7d74-77c9-4bed-9dad-b39dfe1f0517,c718b890-728d-4f99-b9fa-51a7b18e723d,dumbbells home gym set,6,,keyword,2026-04-07 22:36:36.908836
ba5a6e1a-f6cf-4032-a85e-6e787ce1ccd5,6e6ad56c-665f-47ba-95ae-a9cfcaf2b792,bestselling books 2024,76,6ca663d2-5cf7-449f-a7e6-f3d9b4fc75ec,keyword,2025-12-21 21:21:36.908850
83857f09-aa2c-4264-bcd4-5d4231b6c8e1,e2989c7c-99f1-4a8c-99fa-bfb276d73eff,skincare routine dry skin,52,,keyword,2025-12-09 12:58:36.908865
4f931f0f-cf72-4ef9-9789-d9e79209f2b4,ef3a4c35-8318-4969-b545-b6df2b53f13e,running shoes for men,41,5c5f9c31-4683-488b-aafe-1bc07d74c14d,keyword,2025-09-14 12:20:36.908879
12d300c2-d79a-4f2c-91a8-4b4670c08e61,d5583032-4774-479f-94c7-f61170c8490c,protein powder for weight loss,43,,semantic,2026-03-14 23:14:36.908893
bc8e6bab-4b77-41b4-855a-47d4fca097df,69447e85-de3f-4065-8eb7-573fd01fdbdd,water purifier RO UV,51,,semantic,2026-03-24 23:55:36.908944
a851df86-8b33-4b33-94f2-c2f423217d49,d183db4a-9e9c-45b9-8ceb-7cff21e224ed,Amazon Echo smart speaker,77,,keyword,2026-04-21 18:07:36.908960
cf879847-8ce5-4d0a-9f20-5dd531dde84f,63b4b253-1e4e-4011-a9d9-cbf6507b457e,iPhone 15 latest model,67,,keyword,2025-09-19 15:20:36.908973
9ea68d94-0786-4777-a7e6-69e74fcb74ee,d76896a5-d9c1-4643-9592-07a35889155e,cooking oil heart healthy,42,caaa8625-3941-491f-9c35-43753158d777,keyword,2025-10-25 13:59:36.908988
1a175a28-62f2-483b-a73d-fd62054ddc1f,4c625569-400f-48ab-8a13-d0bd97a786f9,gaming laptop RTX graphics,65,,semantic,2025-06-19 13:37:36.909002
7ffd36b5-0fdb-4768-bdce-c4f38df05a7a,e2a75ab8-435a-4ea4-85ac-83630a29d203,Samsung TV 55 inch 4K,46,,keyword,2026-06-06 09:44:36.909071
08747fac-8c66-4a40-aaf6-667675a237b9,65bddfab-c38b-4e36-bda4-6478822ad677,mens formal shirt office wear,64,,keyword,2026-02-24 12:33:36.909096
cc561f8e-e66f-4acd-a44c-a502155b749d,554d38d3-b2dd-48a0-ae40-0bef43c3e734,dumbbells home gym set,46,,keyword,2025-09-10 02:49:36.909115
e38c2a56-21e5-4dc0-93c6-cd83e9d4adf8,94b13b7f-8cc3-4c27-b5bb-446ec398548b,mens formal shirt office wear,78,5e2be5d8-2c77-478a-83ab-5f554e25348b,keyword,2025-08-05 19:33:36.909133
d10a4c47-62d6-46c1-97ef-e0c666584e08,f3734dff-dda0-497e-ba7d-29a60e9c472f,wireless headphones with noise cancellation,2,e8b7b24a-a7df-48f4-8d2e-3a782b020476,keyword,2025-12-16 14:39:36.909151
3387b362-f677-4bbb-8841-cfdd16206477,a06f2462-ab14-4214-a01b-8f5043ff91a6,mechanical keyboard gaming,75,2f582260-e19f-44fe-b0ca-ad790b4c1c21,keyword,2025-10-13 22:57:36.909167
b3b0b333-88c6-4343-8441-50ae2bc6dc15,c8c467d5-d4cb-40ba-94ab-02a2664f9668,tablet for kids education,4,,keyword,2026-04-02 12:54:36.909183
8df27ed4-fdda-4dce-989f-be1f28ea2d1e,,Amazon Echo smart speaker,4,08367656-0a13-4bd0-a9d1-06ef7e898a81,semantic,2025-07-07 13:34:36.909200
3980d015-5c12-4a60-ad79-51ea14fe390e,7db96bc1-4d95-4eaf-b7f8-96650cf02f08,cooking oil heart healthy,71,,keyword,2025-10-15 19:30:36.909216
5b2381f1-dfaa-4d9b-a85f-b3ca88417843,51bf1c72-d657-4ea3-bbb3-8f9a8d8726bd,mens formal shirt office wear,64,,semantic,2025-08-23 22:41:36.909231
918daa19-7fa3-492e-bf5c-349d5debfa15,77d69647-6b7f-4066-a8eb-a9f3b9be6145,face wash for oily skin,44,,keyword,2025-11-28 18:22:36.909247
01c5a4b9-27ce-487d-a2f7-8d247750e60f,b1989482-f32f-4293-a3af-2ae57ca8fcf4,face wash for oily skin,69,,semantic,2025-06-27 04:10:36.909264
539f0f08-191c-48a0-a7b8-1570f03de832,,yoga mat non slip thick,65,823a6c28-0f4c-4619-a930-037a8d0fa753,keyword,2025-11-17 13:38:36.909279
dbb8db8c-acba-466b-8df9-650df569cd7d,8349b569-024b-42b2-bf44-245de4fc4138,Amazon Echo smart speaker,29,4949ef41-d2f5-4e20-8c22-e3500d1653de,semantic,2025-11-01 02:42:36.909295
e7bdc713-ad1e-4b52-bf37-bbd13d17c82e,c8f6cc18-2350-4c18-9757-3f1fdfbe4022,pressure cooker 5 litre,2,c486be5d-da9a-4697-a046-5c54757842b6,keyword,2025-11-04 05:51:36.909329
0d5b0297-c637-44b0-add6-28ffa7fca946,f082a481-e6b9-4c95-ba95-ff7932dee37d,mechanical keyboard gaming,73,,keyword,2025-11-09 16:25:36.909346
b50a60ee-b40a-4308-ba4f-75c306eb9969,08f72f9f-27c0-4263-9783-98b52896b47f,pressure cooker 5 litre,68,16767631-77bb-49bf-8e37-57c2598b07af,keyword,2026-06-11 00:28:36.909361
129c5cd7-bcb0-4d13-82b9-8f4835b7e7ea,5051ac44-9134-48ab-b04d-4be3553c173c,anti-dandruff shampoo,56,1b522878-759b-4948-b40b-e67a6a2c928e,keyword,2026-03-04 05:46:36.909377
80d05500-05bd-4a3e-954d-d66b7eeff562,56cad904-b126-4d55-9cf8-219cf72a44cb,protein powder for weight loss,64,70eea74b-e63e-4dea-8e82-b60031f8eabc,keyword,2026-04-20 04:59:36.909392
28903c69-a721-43f8-8185-f899c476d24c,8f45bcfe-98c4-41a0-bc18-330f03eab5b8,women ethnic kurta cotton,73,,keyword,2026-04-04 14:17:36.909407
ccebedad-cc18-4e02-b98a-efff2ff770e1,,Samsung TV 55 inch 4K,14,,keyword,2026-02-23 23:52:36.909422
9c5886e8-94bd-40bc-ab65-24dbb4c0514c,,wireless headphones with noise cancellation,9,4dc0c879-a92b-4373-b786-765609b550bd,keyword,2026-03-24 11:01:36.909437
ed6d3ec0-1ece-40ad-8aa3-03f556c08660,07aa8058-250a-4143-883f-10577497f453,yoga mat non slip thick,16,,keyword,2026-02-04 22:01:36.909451
d134a71a-4afe-42be-81e0-1f5587db57e3,2df01c04-03ce-4d19-9d71-06dd8c4ae47b,lightweight laptop for college,0,c3cf5f44-aeaa-4f73-8e4d-5772f6a2840d,semantic,2025-12-29 20:26:36.909467
17ae39ca-91e6-4744-8ad8-f419ea0972d4,f0482e87-0fb0-442c-9b11-2a09227b02ed,pressure cooker 5 litre,40,dbbaa371-d333-49d8-8b63-207931930fba,keyword,2026-04-28 02:40:36.909494
c74c2875-e190-4f31-a01b-5515bd077e67,,iPhone 15 latest model,69,3af30d8f-1bef-45f2-aefd-6abb9cb7e1ed,semantic,2025-09-06 02:58:36.909513
84e419b9-ccfd-4edc-b08b-1f7889129905,,protein powder for weight loss,0,ff7b3a6c-dd1e-4fed-8490-a68d1586f5d0,keyword,2026-03-08 01:36:36.909527
b603afee-5b12-4a14-a6f4-bbcf4c254447,,yoga mat non slip thick,77,094cf11c-aeee-4f17-81d5-90a961b93fb4,keyword,2025-12-12 03:42:36.909543
751cbf95-bdda-4d36-abd9-463a8593a4e2,57e8f136-11ed-4ad8-8a33-1daf759b8743,cooking oil heart healthy,55,3a8e196b-1dd7-4d67-b9d5-08008f9a21c7,keyword,2026-01-19 17:06:36.909557
4e506abd-b7f3-405a-9aa2-d0da6185bbb7,,smartwatch with health tracking,68,09223c4b-0a41-4979-8c12-ade99c3c482c,keyword,2025-06-20 06:20:36.909572
e42c2455-3a2a-48cc-ac9e-856eff77811a,de2ff5f6-62e1-452e-8a2b-89108fff5545,iPhone 15 latest model,5,4e830ae7-55be-402e-9355-1ac24562b7b9,keyword,2025-09-23 01:48:36.909586
d4efbbca-7cd4-454a-b0e5-2339a8efac41,6be41bd7-2c96-45ba-ac34-4f572e8d3fed,whey protein chocolate flavour,0,,keyword,2025-09-09 10:25:36.909601
b05dd51d-59d3-4c06-84b4-22d8b8afd5db,b59b4af6-2c6c-4202-848c-becfb5545b9d,wireless headphones with noise cancellation,36,,semantic,2025-11-26 13:45:36.909616
b9abd6de-9d62-41a0-b6f4-78f2fede147e,1ef88ee1-50e9-45b4-b0d0-d1f619058ab4,budget smartphone 5G under 20000,43,9688712f-8495-4699-82f8-2b2d4c09afb3,keyword,2026-01-26 07:39:36.909631
55621d0f-face-4fdc-9f97-a594e9ffc81e,3fcc26eb-b6cd-4a21-84d2-dfba27b93a7b,dumbbells home gym set,68,,semantic,2025-11-05 22:05:36.909682
4a4de915-ab06-4b05-88c0-b7cf6f66b4ae,137f6ad7-2f01-4d0d-a4c1-0c02dc1fc9dd,mens formal shirt office wear,52,,keyword,2025-10-31 08:11:36.909710
a7f86d3f-3001-4e7f-898c-265c2fa5a27a,127a8775-d653-4aaa-8911-19f2aec41ac0,running shoes for men,62,,semantic,2026-05-30 03:04:36.909730
ab35916b-0ffe-4a02-9d50-ae381530feca,,running shoes for men,28,696d48b7-0102-4c4b-8855-497d9050313b,semantic,2025-09-04 14:23:36.909747
5ac95079-a8e9-4d59-b79c-eb15a0205bd1,36135f32-f8c4-46ab-988f-0799d384464f,gaming laptop RTX graphics,56,,keyword,2025-10-17 10:36:36.909765
da8167b5-2c22-40dc-b6d6-810f605e4e7a,,Samsung TV 55 inch 4K,57,8953be53-92e3-4a77-bb97-702688070a62,keyword,2026-03-18 19:32:36.909783
739fea46-240f-458b-91d6-9beeff36e214,b029dada-fd82-4a3a-820c-b7e29523db0c,mens formal shirt office wear,24,511f23b1-909d-475a-8989-892294e3542d,semantic,2025-12-02 02:03:36.909799
9e2331d5-4689-4a29-8d09-f3915905f0ff,3f9a4255-7a6e-4eeb-8511-97c65b4256bc,Samsung TV 55 inch 4K,74,677817b6-91e5-4796-b4a8-b79b795d919d,semantic,2026-03-31 02:05:36.909815
7ced070d-58f0-4c30-ab64-137b433301e9,d49fa98a-df09-4e75-8b23-23019cf4389c,air fryer low oil cooking,27,d0771f7a-1e40-4524-abeb-ac4513e66727,keyword,2025-12-17 00:15:36.909832
f6b7365c-235e-4303-85f8-c1c82d5ad345,2149f871-d2f2-4d4a-bd8d-45229a3b01da,cooking oil heart healthy,50,020df09a-9b1a-471a-ac45-9be03f36f37e,keyword,2025-07-13 05:40:36.909849
430e2b84-4cf9-4a18-82e3-533917110cf3,c78c3b61-942a-4079-a851-5ee65a9cb753,anti-dandruff shampoo,75,f4aa95be-4eb4-42b9-8342-ccad309f71e4,semantic,2025-07-24 16:43:36.909866
1d32a7de-f7f9-4a95-818d-cee9e9b25e3f,dda58453-e9b1-40bb-9532-80b163a34d5a,mechanical keyboard gaming,75,bda11728-f2ab-4924-97f5-81fa9177f45f,keyword,2025-12-02 05:53:36.909882
bd53ec74-16a3-4f78-90ff-6f3f68f0e01e,e8b15a51-3f1d-4f0e-8996-5452f208ffd4,running shoes for men,20,e8cb65ba-a9fe-4f2f-b83c-22c990bb7b70,keyword,2025-08-19 15:20:36.909899
62b76f44-7bdd-4e78-b042-0405dd3cbfbc,660090c2-3a1c-43cb-95c4-22915d62e4ef,mechanical keyboard gaming,21,,keyword,2026-04-26 20:37:36.909915
106e2bbb-73d9-4138-a69f-75f3486f1c3f,fbf4d6bd-3e63-4098-b2f0-2923176b559d,bluetooth speaker waterproof outdoor,80,78860116-714a-4559-bdf5-1255f641f1c5,semantic,2026-01-18 02:07:36.910040
872b0dc8-056d-4aac-81f7-c68a1ecb3b4f,f287e51f-d6d6-46c6-b262-4de9cb2b4a9b,iPhone 15 latest model,55,,keyword,2026-05-31 07:01:36.910065
a082b6e6-559f-470c-b4a0-62a6c01ae98a,,yoga mat non slip thick,19,5611293e-28b7-43e6-875f-db4782bd7068,keyword,2026-03-27 06:41:36.910084
02cc7d7b-b967-4e1b-92ec-2c679c855437,47a1c4cc-1ac0-4ce2-b7ad-b5f2cdd58f05,tablet for kids education,62,,keyword,2025-09-09 15:31:36.910105
ef209c02-be6e-4897-8850-060c59f11223,ccea2c83-e959-4ef1-8b21-9390cc6fe082,best laptop under 50000,47,,keyword,2026-04-07 06:33:36.910123
7b769cd9-0306-4500-a346-7ce4a8518296,,yoga mat non slip thick,79,,keyword,2026-02-06 13:40:36.910140
71734b71-8ba3-4464-bd16-291ad4ecbb36,14a6e045-b13d-490d-bd97-e6c26c535859,pressure cooker 5 litre,77,1b4c3718-9112-42b1-8142-9b0524d5fbe6,keyword,2025-09-18 05:17:36.910157
c820454d-a0aa-478f-8391-30beed7cee52,,mens formal shirt office wear,20,4cc0bdd5-b6cf-4258-a3bb-1c953f49edbb,keyword,2025-08-22 21:04:36.910173
4db34e42-6f36-481d-aa64-d10a3ebb9346,a6a38408-daab-414e-a419-02be631f04db,mixer grinder 750 watt,8,fdbff1e2-94f5-4149-a754-699937574834,keyword,2026-05-30 07:34:36.910190
d50595ff-b652-461c-b154-612db64ec12c,6729af03-b034-43df-95a3-7eaba96e4afd,women ethnic kurta cotton,64,690b7a43-4cec-49bf-8cf6-03e5ed1baa52,keyword,2026-01-18 23:32:36.910206
d4a49811-ad8f-48c6-a215-d620e64d9f0f,05c68383-dfa4-4d4c-91d2-362bb8bea667,bluetooth speaker waterproof outdoor,28,1e9d814c-b3c4-4aa3-8102-ceb341a445ca,keyword,2025-06-24 02:28:36.910223
84fc1f7e-f5fc-4599-96b2-e35297205be2,c17d9a4b-124d-47f9-8b36-20a751da8d75,tablet for kids education,45,e13eefb6-d59f-4acf-ae71-8336796a4c3a,semantic,2025-12-19 05:02:36.910239
3b0bf16d-97bb-447d-ba4a-94ca07b239ca,fab0c008-be15-4cdf-b7a3-7b91a492058e,protein powder for weight loss,46,,keyword,2026-05-10 03:12:36.910256
321dc068-a0a7-4798-9df3-4d1f8fcc97e1,e04d9f1f-7ba2-4b12-8f23-8ee2925fdfa5,lightweight laptop for college,0,e30cb2f9-48f1-4127-8c54-ebd4133fef9a,semantic,2026-05-04 02:51:36.910272
bb96b013-9000-40c6-b578-4b1914a44194,6c5fced6-a5ce-4644-b5e7-54256095deeb,lightweight laptop for college,9,,semantic,2026-04-16 23:53:36.910288
770482fc-1e80-4a92-9d48-a231d2a4b6ac,,mechanical keyboard gaming,62,,keyword,2025-07-29 00:36:36.910307
0e7e1754-170e-4e99-988c-46dd5ee04b18,a9573843-9933-4a0c-8488-355b00fd1807,mens formal shirt office wear,42,22832540-4dff-4fb2-be14-4b62eb77410c,semantic,2026-03-26 20:53:36.910324
e258606b-2c7b-4194-a2b8-26e7d28d8543,a3ae383e-85c1-42dc-a62a-b91beb593b72,water purifier RO UV,70,,semantic,2025-10-04 04:54:36.910340
54df0906-4496-45d4-92fb-d04f75d449d1,8874fd90-3cb1-4adb-926a-79a64bd262be,sunscreen SPF 50 no white cast,24,18141342-04fe-4eb1-9a92-2973fbbe94f9,keyword,2025-12-16 14:51:36.910356
ec755c51-86e7-4201-a27b-747c7c89ea00,fc7e9738-66c4-4e59-8d05-b192d7c9db6a,face wash for oily skin,47,1a2e570b-435c-4242-b95b-763b388aa332,semantic,2026-04-05 08:26:36.910373
6eba642f-6c42-4c3d-aa6c-61906a4bc567,f5574e35-7c5b-4fc9-b08e-a3c1201ab802,mixer grinder 750 watt,31,76b5872d-cd00-446b-bd43-50819189985b,keyword,2025-09-26 02:18:36.910390
