id,name,category,subcategory,brand,price,discount_pct,inventory_count,rating_avg,rating_count,tags,specifications,description
be323dde-f55c-415e-9f1d-ff1e3db55b2f,Apple MacBook Air M1 8GB 256GB SSD Space Gray,Electronics,Laptop,Apple,60000.0,30.0,197,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Space Gray""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 8GB unified memory and 256GB SSD. Ideal for students, developers, and creative professionals who demand speed."
f072f44a-8732-4dac-b5ca-2119b0f5eb49,Apple MacBook Air M1 8GB 256GB SSD Silver,Electronics,Laptop,Apple,60000.0,0.0,49,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Silver""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 8GB unified memory and 256GB SSD. Ideal for students, developers, and creative professionals who demand speed."
51b83cd4-488c-421a-a45c-2253037aa49b,Apple MacBook Air M1 8GB 256GB SSD Midnight,Electronics,Laptop,Apple,60000.0,10.0,262,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Midnight""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 8GB unified memory and 256GB SSD. Ideal for students, developers, and creative professionals who demand speed."
d6bc8a2a-bef3-40c3-b2ae-69b5ad5ae0b9,Apple MacBook Air M1 8GB 512GB SSD Space Gray,Electronics,Laptop,Apple,67200.0,15.0,185,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""8GB"", ""Storage"": ""512GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Space Gray""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 8GB unified memory and 512GB SSD. Ideal for students, developers, and creative professionals who demand speed."
2cf8a482-74b2-4d1c-a830-8edb240f0a53,Apple MacBook Air M1 8GB 512GB SSD Silver,Electronics,Laptop,Apple,67200.0,10.0,69,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""8GB"", ""Storage"": ""512GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Silver""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 8GB unified memory and 512GB SSD. Ideal for students, developers, and creative professionals who demand speed."
c2bdac4b-5b3e-48ed-82b4-c98a148caaaf,Apple MacBook Air M1 8GB 512GB SSD Midnight,Electronics,Laptop,Apple,67200.0,5.0,251,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""8GB"", ""Storage"": ""512GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Midnight""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 8GB unified memory and 512GB SSD. Ideal for students, developers, and creative professionals who demand speed."
ed174644-771e-4723-8492-3b0a6b980d95,Apple MacBook Air M1 16GB 512GB SSD Space Gray,Electronics,Laptop,Apple,75000.0,30.0,193,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Space Gray""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 16GB unified memory and 512GB SSD. Ideal for students, developers, and creative professionals who demand speed."
1b8ac1e3-e80c-4535-807e-964c95b6da8b,Apple MacBook Air M1 16GB 512GB SSD Silver,Electronics,Laptop,Apple,75000.0,10.0,212,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Silver""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 16GB unified memory and 512GB SSD. Ideal for students, developers, and creative professionals who demand speed."
374a89d0-f205-4dc2-b3f0-e8a3697aa278,Apple MacBook Air M1 16GB 512GB SSD Midnight,Electronics,Laptop,Apple,75000.0,15.0,159,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Midnight""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 16GB unified memory and 512GB SSD. Ideal for students, developers, and creative professionals who demand speed."
337df4c6-4353-4eed-a064-3c29fb341dc2,Apple MacBook Air M1 16GB 1TB SSD Space Gray,Electronics,Laptop,Apple,84000.0,5.0,148,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""16GB"", ""Storage"": ""1TB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Space Gray""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 16GB unified memory and 1TB SSD. Ideal for students, developers, and creative professionals who demand speed."
bde709a3-ee3a-4023-9966-c3841fe24f1f,Apple MacBook Air M1 16GB 1TB SSD Silver,Electronics,Laptop,Apple,84000.0,20.0,120,0.0,0,"[""macOS"", ""Apple"", ""laptop"", ""ultrabook"", ""m1""]","{""Chip"": ""M1"", ""RAM"": ""16GB"", ""Storage"": ""1TB SSD"", ""Display"": ""Liquid Retina"", ""Battery"": ""18-22 hr"", ""Color"": ""Silver""}","The Apple MacBook Air powered by the M1 chip delivers extraordinary performance with 16GB unified memory and 1TB SSD. Ideal for students, developers, and creative professionals who demand speed."
